algo,supercomputer,supercomputer_30
OLS regression,3.037000000000001,5.15900000000002
Elastic Net,3.907,1.384999999999991
Random Forest,23.633999999999997,11.947000000000003
XGB,216.88299999999998,9.913999999999987
